CustomerID,Age,Annual Income (k$),Spending Score (1-100),Purchase Amount ($),Number of Purchases,Category,Satisfaction Rating (1-5)
CUST-0001,56,81,93,564.81,21,Clothing,2
CUST-0002,69,70,67,469.58,20,Sports & Outdoors,4
CUST-0003,46,78,76,477.34,16,Home & Kitchen,2
CUST-0004,32,137,26,401.33,16,Electronics,4
CUST-0005,60,115,16,247.97,11,Clothing,4
CUST-0006,25,132,51,421.39,15,Electronics,5
CUST-0007,38,81,86,447.92,15,Electronics,1
CUST-0008,56,71,57,354.95,10,Home & Kitchen,1
CUST-0009,36,31,29,229.56,15,Sports & Outdoors,3
CUST-0010,40,58,78,439.78,18,Electronics,5
CUST-0011,28,149,92,649.14,23,Clothing,4
CUST-0012,28,132,69,482.1,17,Beauty,1
CUST-0013,41,120,47,382.33,14,Electronics,4
CUST-0014,53,132,94,611.34,17,Electronics,1
CUST-0015,57,100,62,417.52,13,Home & Kitchen,1
CUST-0016,41,132,69,549.26,15,Sports & Outdoors,1
CUST-0017,20,21,76,351.48,19,Beauty,5
CUST-0018,39,149,16,319.44,8,Clothing,2
CUST-0019,19,73,90,514.07,22,Beauty,4
CUST-0020,41,106,90,539.32,21,Clothing,5
CUST-0021,61,148,48,417.35,15,Sports & Outdoors,5
CUST-0022,47,145,85,557.52,25,Clothing,5
CUST-0023,55,149,39,437.83,19,Home & Kitchen,5
CUST-0024,19,72,100,497.24,24,Home & Kitchen,5
CUST-0025,38,87,33,347.81,15,Home & Kitchen,3
CUST-0026,50,142,94,599.49,24,Home & Kitchen,4
CUST-0027,29,57,23,241.39,11,Beauty,5
CUST-0028,39,43,10,133.59,11,Sports & Outdoors,4
CUST-0029,61,88,69,416.74,18,Clothing,3
CUST-0030,42,135,100,639.88,23,Clothing,3
CUST-0031,66,117,34,386.25,11,Home & Kitchen,4
CUST-0032,44,116,52,414.18,13,Home & Kitchen,1
CUST-0033,59,143,95,623.54,16,Electronics,2
CUST-0034,45,89,10,245.72,3,Sports & Outdoors,1
CUST-0035,33,112,19,315.42,8,Beauty,1
CUST-0036,32,22,58,302.25,10,Clothing,1
CUST-0037,64,109,96,565.0,23,Electronics,5
CUST-0038,68,115,1,228.78,10,Electronics,3
CUST-0039,61,71,69,412.97,12,Clothing,1
CUST-0040,69,147,4,295.09,12,Beauty,3
CUST-0041,20,58,16,161.97,11,Electronics,4
CUST-0042,54,101,24,301.02,8,Electronics,2
CUST-0043,68,123,80,516.95,18,Sports & Outdoors,4
CUST-0044,24,148,2,306.78,12,Beauty,4
CUST-0045,38,30,92,424.43,22,Electronics,5
CUST-0046,26,61,32,243.45,14,Beauty,2
CUST-0047,56,118,91,586.16,22,Clothing,4
CUST-0048,35,26,84,408.63,21,Home & Kitchen,4
CUST-0049,21,109,24,373.0,8,Electronics,2
CUST-0050,42,131,12,243.22,7,Sports & Outdoors,2
CUST-0051,31,79,50,361.8,15,Clothing,4
CUST-0052,67,132,35,414.89,14,Beauty,2
CUST-0053,26,21,33,189.55,16,Clothing,4
CUST-0054,43,148,33,370.08,14,Electronics,4
CUST-0055,19,67,61,356.17,20,Beauty,5
CUST-0056,37,56,51,279.44,13,Home & Kitchen,1
CUST-0057,45,28,43,295.89,12,Clothing,4
CUST-0058,64,118,12,262.71,11,Electronics,3
CUST-0059,24,67,67,391.66,15,Sports & Outdoors,1
CUST-0060,61,73,65,342.78,14,Beauty,1
CUST-0061,25,139,33,340.89,9,Clothing,1
CUST-0062,64,135,40,448.46,13,Clothing,5
CUST-0063,52,94,74,481.29,19,Home & Kitchen,4
CUST-0064,31,132,43,446.4,19,Home & Kitchen,5
CUST-0065,34,123,44,432.9,12,Sports & Outdoors,4
CUST-0066,53,103,29,284.68,13,Sports & Outdoors,5
CUST-0067,67,131,13,368.8,15,Electronics,5
CUST-0068,57,118,12,331.09,7,Electronics,3
CUST-0069,21,112,95,562.09,26,Sports & Outdoors,5
CUST-0070,19,147,46,338.25,15,Sports & Outdoors,2
CUST-0071,23,129,2,240.4,8,Beauty,3
CUST-0072,59,101,35,341.65,16,Home & Kitchen,5
CUST-0073,21,73,87,473.07,13,Electronics,1
CUST-0074,46,87,81,481.65,19,Home & Kitchen,2
CUST-0075,35,52,90,445.14,15,Home & Kitchen,2
CUST-0076,43,40,8,168.05,7,Sports & Outdoors,2
CUST-0077,61,67,93,505.81,21,Beauty,3
CUST-0078,51,147,26,397.85,16,Clothing,5
CUST-0079,27,147,74,588.37,22,Beauty,5
CUST-0080,53,52,90,404.77,14,Beauty,1
CUST-0081,31,134,34,357.08,9,Home & Kitchen,1
CUST-0082,48,138,7,264.88,5,Beauty,2
CUST-0083,65,41,68,447.04,16,Electronics,1
CUST-0084,32,57,58,360.37,16,Home & Kitchen,3
CUST-0085,25,128,75,551.38,17,Electronics,5
CUST-0086,31,70,29,208.78,7,Clothing,2
CUST-0087,40,27,36,231.6,11,Home & Kitchen,1
CUST-0088,57,46,89,486.55,21,Clothing,3
CUST-0089,38,46,21,224.66,14,Home & Kitchen,3
CUST-0090,33,40,36,265.5,7,Sports & Outdoors,1
CUST-0091,62,49,10,161.89,15,Beauty,5
CUST-0092,35,116,73,503.25,11,Sports & Outdoors,1
CUST-0093,64,47,24,160.9,7,Clothing,2
CUST-0094,41,130,64,461.18,13,Beauty,1
CUST-0095,43,80,99,553.13,20,Home & Kitchen,3
CUST-0096,42,67,49,315.22,10,Beauty,1
CUST-0097,62,23,99,481.37,21,Electronics,5
